Seq #,Title,20 Char,Publisher,Prods,ISSN,E-ISSN,Country,Language,SCIE,SSCI,AHCI,WoS Category
C9556J,Teaching Philosophy,TEACH PHILOS,PHILOSOPHY DOCUMENTATION CENTER,H  Q  Y  CC,0145-5788,,UNITED STATES,English,,0,1,Philosophy
91240J,TEACHING SOCIOLOGY,TEACH SOCIOL,SAGE PUBLICATIONS INC,J  SS JZ Q  B  CC ES,0092-055X,1939-862X,UNITED STATES,English,,1,0,Education & Educational Research
91240J,TEACHING SOCIOLOGY,TEACH SOCIOL,SAGE PUBLICATIONS INC,J  SS JZ Q  B  CC ES,0092-055X,1939-862X,UNITED STATES,English,,,,Sociology
11993J,TECHNICAL COMMUNICATION,TECH COMMUN-STC,SOC TECHNICAL COMMUNICATION,J  SS JZ Q  B  CC ES,0049-3155,,UNITED STATES,English,,,,Communication
12063J,TECHNICAL PHYSICS,TECH PHYS+,MAIK NAUKA/INTERPERIODICA/SPRINGER,K  D  JS Q  S  CC ES,1063-7842,1090-6525,RUSSIA,English,1,0,,"Physics, Applied"
12065J,TECHNICAL PHYSICS LETTERS,TECH PHYS LETT+,MAIK NAUKA/INTERPERIODICA/SPRINGER,K  D  JS Q  S  CC ES,1063-7850,1090-6533,RUSSIA,English,,,,"Physics, Applied"
C8686J,Techniques in Coloproctology,TECH COLOPROCTOL,SPRINGER-VERLAG ITALIA SRL,D  JS Q  XC C  CC ES,1123-6337,1128-045X,ITALY,English,,,,Surgery
C8686J,Techniques in Coloproctology,TECH COLOPROCTOL,SPRINGER-VERLAG ITALIA SRL,D  JS Q  XC C  CC ES,1123-6337,1128-045X,ITALY,English,,,,Gastroenterology & Hepatology
C8304J,Technological and Economic Development of Economy,TECHNOL ECON DEV ECO,VILNIUS GEDIMINAS TECH UNIV,SS JZ Q  XC WS ES SP,2029-4913,2029-4921,LITHUANIA,English,0,1,,Economics
91311J,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC,ELSEVIER SCIENCE INC,J  SS JZ Q  B  BC CC ES,0040-1625,1873-5509,UNITED STATES,English,,,,Business
91311J,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC,ELSEVIER SCIENCE INC,J  SS JZ Q  B  BC CC ES,0040-1625,1873-5509,UNITED STATES,English,,,,Planning & Development
10899J,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,TECHNOL ANAL STRATEG,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",J  SS JZ Q  B  BC CC ES SP,0953-7325,1465-3990,ENGLAND,English,,,,Multidisciplinary Sciences
10899J,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,TECHNOL ANAL STRATEG,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",J  SS JZ Q  B  BC CC ES SP,0953-7325,1465-3990,ENGLAND,English,,,,Management
91300J,TECHNOLOGY AND CULTURE,TECHNOL CULT,JOHNS HOPKINS UNIV PRESS,D  J  SS H  JS JZ Q  XC Y  CC ES,0040-165X,1097-3729,UNITED STATES,English,1,,1,History & Philosophy of Science
91300J,TECHNOLOGY AND CULTURE,TECHNOL CULT,JOHNS HOPKINS UNIV PRESS,D  J  SS H  JS JZ Q  XC Y  CC ES,0040-165X,1097-3729,UNITED STATES,English,,,,History & Philosophy of Science
91300J,TECHNOLOGY AND CULTURE,TECHNOL CULT,JOHNS HOPKINS UNIV PRESS,D  J  SS H  JS JZ Q  XC Y  CC ES,0040-165X,1097-3729,UNITED STATES,English,,,,History & Philosophy of Science
10573J,TECHNOLOGY AND HEALTH CARE,TECHNOL HEALTH CARE,IOS PRESS,D  JS Q  XC ES,0928-7329,1878-7401,NETHERLANDS,English,,0,0,"Engineering, Biomedical"
10573J,TECHNOLOGY AND HEALTH CARE,TECHNOL HEALTH CARE,IOS PRESS,D  JS Q  XC ES,0928-7329,1878-7401,NETHERLANDS,English,,,,Health Care Sciences & Services
14067J,TECHNOLOGY IN CANCER RESEARCH & TREATMENT,TECHNOL CANCER RES T,SAGE PUBLICATIONS INC,D  JS Q  XC C  B2 BA BP PI CC ES,1533-0346,1533-0338,UNITED STATES,English,,,,Oncology
D0690J,Technology Pedagogy and Education,TECHNOL PEDAGOG EDUC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",SS JZ Q  XC B  CC ES SP,1475-939X,1747-5139,ENGLAND,English,0,1,,Education & Educational Research
91322J,TECHNOLOGY REVIEW,TECHNOL REV,TECHNOL REV,K  D  JS Q  T  EC B2 BP RR CC ES,1099-274X,,UNITED STATES,English,1,0,,Multidisciplinary Sciences
91344J,TECHNOMETRICS,TECHNOMETRICS,AMER STATISTICAL ASSOC,K  D  JS Q  S  CC ES SP,0040-1706,1537-2723,UNITED STATES,English,,,,Statistics & Probability
03653J,TECHNOVATION,TECHNOVATION,ELSEVIER SCIENCE BV,D  J  SS JS JZ Q  XC B  T  CC ES,0166-4972,1879-2383,NETHERLANDS,English,,1,,Management
03653J,TECHNOVATION,TECHNOVATION,ELSEVIER SCIENCE BV,D  J  SS JS JZ Q  XC B  T  CC ES,0166-4972,1879-2383,NETHERLANDS,English,,,,"Engineering, Industrial"
03653J,TECHNOVATION,TECHNOVATION,ELSEVIER SCIENCE BV,D  J  SS JS JZ Q  XC B  T  CC ES,0166-4972,1879-2383,NETHERLANDS,English,,,,Operations Research & Management Science
D0098J,Tecnologia y Ciencias del Agua,TECNOL CIENC AGUA,INST MEXICANO TECHNOLOGIAAGUA,D  JS Q  XC ES,0187-8336,2007-2422,MEXICO,Spanish,,0,,Water Resources
D0098J,Tecnologia y Ciencias del Agua,TECNOL CIENC AGUA,INST MEXICANO TECHNOLOGIAAGUA,D  JS Q  XC ES,0187-8336,2007-2422,MEXICO,Spanish,,,,"Engineering, Civil"
04128J,TECTONICS,TECTONICS,AMER GEOPHYSICAL UNION,K  D  JS Q  S  CC ES,0278-7407,1944-9194,UNITED STATES,English,,,,Geochemistry & Geophysics
91388J,TECTONOPHYSICS,TECTONOPHYSICS,ELSEVIER SCIENCE BV,K  D  JS Q  S  CC ES,0040-1951,1879-3266,NETHERLANDS,Multi-Language,,,,Geochemistry & Geophysics
C9552J,Tehnicki Vjesnik-Technical Gazette,TEH VJESN,"UNIV OSIJEK, TECH FAC",D  JS Q  XC WS ES,1330-3651,1848-6339,CROATIA,English,,,,"Engineering, Multidisciplinary"
C7214J,Teknik Dergi,TEK DERGI,TURKISH CHAMBER CIVIL ENGINEERS,D  JS Q  XC WS ES,1300-3453,1300-3453,TURKEY,Turkish,,,,"Engineering, Civil"
C7499J,Tekstil ve Konfeksiyon,TEKST KONFEKSIYON,EGE UNIVERSITESI,D  JS Q  XC WS ES,1300-3356,1300-3356,TURKEY,Turkish,,,,"Materials Science, Textiles"
C7242J,Teksty Drugie,TEKSTY DRUGIE,"POLISH ACAD SCIENCES, INST LITERARY RESEARCH",H  Q  WS,0867-0633,,POLAND,Polish,0,,1,"Literature, Slavic"
D4184J,Tel Aviv-Journal of the Institute of Archaeology of Tel Aviv University,TEL AVIV,MANEY PUBLISHING,H  Q  Y  CC,0334-4355,2040-4786,ISRAEL,English,,,,Archaeology
11141J,TELECOMMUNICATION SYSTEMS,TELECOMMUN SYST,SPRINGER,D  JS Q  XC T  EC CC ES,1018-4864,1572-9451,NETHERLANDS,English,1,,0,Telecommunications
91421J,TELECOMMUNICATIONS POLICY,TELECOMMUN POLICY,ELSEVIER SCI LTD,K  D  J  SS JS JZ Q  B  T  EC CC ES,0308-5961,1879-3258,ENGLAND,English,,1,,Information Science & Library Science
91421J,TELECOMMUNICATIONS POLICY,TELECOMMUN POLICY,ELSEVIER SCI LTD,K  D  J  SS JS JZ Q  B  T  EC CC ES,0308-5961,1879-3258,ENGLAND,English,,,,Communication
91421J,TELECOMMUNICATIONS POLICY,TELECOMMUN POLICY,ELSEVIER SCI LTD,K  D  J  SS JS JZ Q  B  T  EC CC ES,0308-5961,1879-3258,ENGLAND,English,,,,Telecommunications
07736J,TELEMATICS AND INFORMATICS,TELEMAT INFORM,ELSEVIER SCIENCE BV,SS JZ Q  XC B  CC ES,0736-5853,,UNITED STATES,English,0,,,Information Science & Library Science
D0730J,Telemedicine and e-Health,TELEMED E-HEALTH,"MARY ANN LIEBERT, INC",K  D  JS Q  XC C  CC ES SP,1530-5627,1556-3669,UNITED STATES,English,1,0,,Health Care Sciences & Services
D0288J,Television & New Media,TELEV NEW MEDIA,SAGE PUBLICATIONS INC,SS H  JZ Q  XC B  Y  CC ES,1527-4764,1552-8316,UNITED STATES,English,0,1,1,Communication
D0288J,Television & New Media,TELEV NEW MEDIA,SAGE PUBLICATIONS INC,SS H  JZ Q  XC B  Y  CC ES,1527-4764,1552-8316,UNITED STATES,English,,,,"Film, Radio, Television"
04605J,TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,TELLUS A,CO-ACTION PUBLISHING,K  D  JS Q  S  CC ES,0280-6495,1600-0870,SWEDEN,English,1,0,0,Oceanography
04605J,TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY,TELLUS A,CO-ACTION PUBLISHING,K  D  JS Q  S  CC ES,0280-6495,1600-0870,SWEDEN,English,,,,Meteorology & Atmospheric Sciences
04604J,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,TELLUS B,CO-ACTION PUBLISHING,K  D  JS Q  S  B2 BA BP CC ES,0280-6509,1600-0889,SWEDEN,English,,,,Meteorology & Atmospheric Sciences
C1721J,TELOPEA,TELOPEA,NATL HERBARIUM NEW SOUTH WALES,D  JS Q  XC B1 BA BP WS ES,0312-9764,2200-4025,AUSTRALIA,English,,,,Plant Sciences
D0368J,Telos,TELOS-US,TELOS PRESS LTD,SS H  JZ Q  XC B  Y  CC ES,0090-6514,1940-459X,UNITED STATES,English,0,1,1,Political Science
D0368J,Telos,TELOS-US,TELOS PRESS LTD,SS H  JZ Q  XC B  Y  CC ES,0090-6514,1940-459X,UNITED STATES,English,,,,Philosophy
D0368J,Telos,TELOS-US,TELOS PRESS LTD,SS H  JZ Q  XC B  Y  CC ES,0090-6514,1940-459X,UNITED STATES,English,,,,Sociology
03460J,TEMENOS,TEMENOS,FINNISH SOC STUDY RELIGION,H  Q  WS,0497-1817,,FINLAND,English,,0,,Religion
00314J,TEMPO,TEMPO-UK,CAMBRIDGE UNIV PRESS,H  Q  Y  CC,0040-2982,1478-2286,ENGLAND,English,,,,Music
C8293J,Tempo Social,TEMPO SOC,"UNIV SAO PAOLO, DEPT SOCIOLOGIA",SS JZ Q  XC WS ES SC,0103-2070,,BRAZIL,Portuguese,,1,0,Sociology
C8749J,Tempo-Niteroi,TEMPO-NITEROI,"UNIV FED FLUMINENSE, DEPT HISTORIA",H  Q  WS SC,1413-7704,,BRAZIL,Portuguese,,0,1,History
00073J,TEMPS MODERNES,TEMPS MODERNES,TEMPS MODERNES,H  Q  Y  CC,0040-3075,,FRANCE,French,,,,Literary Reviews
11403J,TENSIDE SURFACTANTS DETERGENTS,TENSIDE SURFACT DET,CARL HANSER VERLAG,D  JS Q  XC S  RD RC SR CC ES,0932-3414,0932-3414,GERMANY,English,1,,0,"Chemistry, Physical"
11403J,TENSIDE SURFACTANTS DETERGENTS,TENSIDE SURFACT DET,CARL HANSER VERLAG,D  JS Q  XC S  RD RC SR CC ES,0932-3414,0932-3414,GERMANY,English,,,,"Chemistry, Applied"
11403J,TENSIDE SURFACTANTS DETERGENTS,TENSIDE SURFACT DET,CARL HANSER VERLAG,D  JS Q  XC S  RD RC SR CC ES,0932-3414,0932-3414,GERMANY,English,,,,"Engineering, Chemical"
C7644J,Teologia y Vida,TEOL VIDA,"PONTIFICIA UNIV CATOLICA CHILE, FACULTAD TEOLOGIA",H  Q  WS SC,0049-3449,,CHILE,Spanish,0,,1,Religion
C8700J,Teorema,TEOREMA,KRK EDICIONES,H  Q  WS,0210-1602,,SPAIN,Spanish,,,,Philosophy
D0650J,Teoria-Rivista di Filosofia,TEORIA,EDIZIONI ETS,H  Q  Y  CC,1122-1259,,ITALY,Multi-Language,,,,Philosophy
91575J,TERAPEVTICHESKII ARKHIV,TERAPEVT ARKH,IZDATELSTVO MEDITSINA,D  JS Q  XC C  DF B2 BA BP CC ES,0040-3660,,RUSSIA,Russian,1,,0,"Medicine, General & Internal"
D0786J,Terapia Psicologica,TER PSICOL,SOCIEDAD CHILENA PSICOLOGIA CLINICA,SS JZ Q  XC B  WS CC ES SC,0718-4808,0718-4808,CHILE,Spanish,0,1,,"Psychology, Clinical"
C7780J,Terminology,TERMINOLOGY,JOHN BENJAMINS PUBLISHING COMPANY,J  SS H  JZ Q  XC B  Y  CC ES,0929-9971,1569-9994,NETHERLANDS,English,,,1,Language & Linguistics
C7780J,Terminology,TERMINOLOGY,JOHN BENJAMINS PUBLISHING COMPANY,J  SS H  JZ Q  XC B  Y  CC ES,0929-9971,1569-9994,NETHERLANDS,English,,,,Linguistics
09420J,TERRA NOVA,TERRA NOVA,WILEY-BLACKWELL,K  D  JS Q  S  B7 CC ES,0954-4879,1365-3121,ENGLAND,English,1,0,0,"Geosciences, Multidisciplinary"
12338J,TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,TERR ATMOS OCEAN SCI,CHINESE GEOSCIENCE UNION,K  D  JS Q  XC S  CC ES,1017-0839,,TAIWAN,English,,,,Meteorology & Atmospheric Sciences
12338J,TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,TERR ATMOS OCEAN SCI,CHINESE GEOSCIENCE UNION,K  D  JS Q  XC S  CC ES,1017-0839,,TAIWAN,English,,,,"Geosciences, Multidisciplinary"
12338J,TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,TERR ATMOS OCEAN SCI,CHINESE GEOSCIENCE UNION,K  D  JS Q  XC S  CC ES,1017-0839,,TAIWAN,English,,,,Oceanography
13865J,TERRORISM AND POLITICAL VIOLENCE,TERROR POLIT VIOLENC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",J  SS JZ Q  B  CC ES,0954-6553,1556-1836,ENGLAND,English,0,1,,Political Science
13865J,TERRORISM AND POLITICAL VIOLENCE,TERROR POLIT VIOLENC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",J  SS JZ Q  B  CC ES,0954-6553,1556-1836,ENGLAND,English,,,,International Relations
91597J,TESOL QUARTERLY,TESOL QUART,WILEY-BLACKWELL,J  SS JZ Q  ES,0039-8322,1545-7249,UNITED STATES,English,,,,Linguistics
91597J,TESOL QUARTERLY,TESOL QUART,WILEY-BLACKWELL,J  SS JZ Q  ES,0039-8322,1545-7249,UNITED STATES,English,,,,Education & Educational Research
12088J,TEST,TEST-SPAIN,SPRINGER,D  JS Q  XC ES,1133-0686,1863-8260,SPAIN,English,1,0,,Statistics & Probability
91608J,TETRAHEDRON,TETRAHEDRON,PERGAMON-ELSEVIER SCIENCE LTD,K  D  JS Q  P  S  CR RD I  PR RC SR CH DF B2 BA BP PI CC ES,0040-4020,,ENGLAND,Multi-Language,,,1,"Chemistry, Organic"
91652J,TETRAHEDRON LETTERS,TETRAHEDRON LETT,PERGAMON-ELSEVIER SCIENCE LTD,K  D  JS Q  P  S  CR RD I  PR RC SR CH DF B2 BA BP PI CC ES,0040-4039,,ENGLAND,Multi-Language,,,,"Chemistry, Organic"
09254J,TETRAHEDRON-ASYMMETRY,TETRAHEDRON-ASYMMETR,PERGAMON-ELSEVIER SCIENCE LTD,K  D  JS Q  S  CR RD I  PR RC SR CH DF PI CC ES,0957-4166,,ENGLAND,English,,,,"Chemistry, Physical"
09254J,TETRAHEDRON-ASYMMETRY,TETRAHEDRON-ASYMMETR,PERGAMON-ELSEVIER SCIENCE LTD,K  D  JS Q  S  CR RD I  PR RC SR CH DF PI CC ES,0957-4166,,ENGLAND,English,,,,"Chemistry, Organic"
09254J,TETRAHEDRON-ASYMMETRY,TETRAHEDRON-ASYMMETR,PERGAMON-ELSEVIER SCIENCE LTD,K  D  JS Q  S  CR RD I  PR RC SR CH DF PI CC ES,0957-4166,,ENGLAND,English,,,,"Chemistry, Inorganic & Nuclear"
04537J,TETSU TO HAGANE-JOURNAL OF THE IRON AND STEEL INSTITUTE OF JAPAN,TETSU TO HAGANE,IRON STEEL INST JAPAN KEIDANREN KAIKAN,K  D  JS Q  T  CC ES,0021-1575,1883-2954,JAPAN,Japanese,,,0,Metallurgy & Metallurgical Engineering
04099J,TEXAS HEART INSTITUTE JOURNAL,TEX HEART I J,TEXAS HEART INST,D  JS Q  XC C  B2 BA BP PI CC ES,0730-2347,1526-6702,UNITED STATES,English,,,,Cardiac & Cardiovascular Systems
91751J,TEXAS LAW REVIEW,TEX LAW REV,TEXAS LAW REVIEW PUBL INC,J  SS JZ Q  B  BC CC ES,0040-4411,,UNITED STATES,English,0,1,,Law
00226J,TEXAS STUDIES IN LITERATURE AND LANGUAGE,TEX STUD LIT LANG,UNIV TEXAS PRESS,H  Q  Y  CC,0040-4691,1534-7303,UNITED STATES,English,,0,1,Literature
00691J,TEXT & KRITIK,TEXT KRITIK,EDITION TEXT KRITIK GMBH,H  Q  Y  CC,0040-5329,,GERMANY,German,,,,"Literature, German, Dutch, Scandinavian"
C6384J,Text & Talk,TEXT TALK,DE GRUYTER MOUTON,J  SS H  JZ Q  B  Y  CC ES,1860-7330,1860-7349,GERMANY,English,,1,,Language & Linguistics
C6384J,Text & Talk,TEXT TALK,DE GRUYTER MOUTON,J  SS H  JZ Q  B  Y  CC ES,1860-7330,1860-7349,GERMANY,English,,,,Communication
C6384J,Text & Talk,TEXT TALK,DE GRUYTER MOUTON,J  SS H  JZ Q  B  Y  CC ES,1860-7330,1860-7349,GERMANY,English,,,,Linguistics
C9001J,Text and Performance Quarterly,TEXT PERFORM Q,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",H  Q  SP,1046-2937,1479-5760,ENGLAND,English,,0,,"Humanities, Multidisciplinary"
05845J,TEXTE-REVUE DE CRITIQUE ET DE THEORIE LITTERAIRE,TEXTE,EDITIONS TRINTEXTE,H  Q  Y  CC,0715-8920,,CANADA,Multi-Language,,,,Literature
C1022J,TEXTILE HISTORY,TEXT HIST,MANEY PUBLISHING,H  Q  Y  CC,0040-4969,1743-2952,ENGLAND,English,,,,"Humanities, Multidisciplinary"
91872J,TEXTILE RESEARCH JOURNAL,TEXT RES J,SAGE PUBLICATIONS LTD,K  D  JS Q  T  CC ES,0040-5175,1746-7748,UNITED STATES,English,1,,0,"Materials Science, Textiles"
C6979J,Textile-The Journal of Cloth & Culture,TEXTILE,BLOOMSBURY PUBLISHING  PLC,H  Q  Y  CC,1475-9756,1751-8350,ENGLAND,English,0,,1,"Humanities, Multidisciplinary"
11448J,TEXTUAL PRACTICE,TEXTUAL PRACT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",H  Q  Y  CC SP,0950-236X,1470-1308,ENGLAND,English,,,,Literature
C7569J,Thai Journal of Veterinary Medicine,THAI J VET MED,CHULALONGKORN UNIV,D  JS Q  XC B7 WS ES,0125-6491,,THAILAND,English,1,,0,Veterinary Sciences
C5677J,THALASSAS,THALASSAS,UNIV VIGO,D  JS Q  XC B2 B7 BA BP WS ES,0212-5919,,SPAIN,English,,,,Marine & Freshwater Biology
C5677J,THALASSAS,THALASSAS,UNIV VIGO,D  JS Q  XC B2 B7 BA BP WS ES,0212-5919,,SPAIN,English,,,,Oceanography
01001J,THEATER,THEATER,DUKE UNIV PRESS,H  Q  Y  CC,0161-0775,,UNITED STATES,English,0,,1,Theater
01671J,THEATER HEUTE,THEATER HEUTE,FRIEDRICH BERLIN VERLAG MBH,H  Q  Y  CC,0040-5507,,GERMANY,German,,,,Theater
09036J,THEATRE HISTORY STUDIES,THEATRE HIST STUD,THEATRE HISTORY STUDIES,H  Q  Y  CC,0733-2033,,UNITED STATES,English,,,,Theater
01593J,THEATRE JOURNAL,THEATRE J,JOHNS HOPKINS UNIV PRESS,H  Q  Y  CC,0192-2882,1086-332X,UNITED STATES,English,,,,Theater
00038J,THEATRE NOTEBOOK,THEATRE NOTEBOOK,SOC THEATRE RES,H  Q  Y  CC,0040-5523,,ENGLAND,English,,,,Theater
10227J,THEATRE RESEARCH IN CANADA-RECHERCHES THEATRALES AU CANADA,THEATRE RES CANADA,"UNIV TORONTO, GRADUATE CENTRE STUDY DRAMA",H  Q  Y  CC,1196-1198,,CANADA,Multi-Language,,,,Theater
00085J,THEATRE RESEARCH INTERNATIONAL,THEATRE RES INT,CAMBRIDGE UNIV PRESS,H  Q  Y  CC,0307-8833,1474-0672,ENGLAND,Multi-Language,,,,Theater
00261J,THEATRE SURVEY,THEATRE SURVEY,CAMBRIDGE UNIV PRESS,H  Q  Y  CC,0040-5574,1475-4533,UNITED STATES,English,,,,Theater
00241J,THEOLOGICAL STUDIES,THEOL STUD,SAGE PUBLICATIONS LTD,H  Q  Y  CC,0040-5639,2169-1304,ENGLAND,English,,,,Religion
00240J,THEOLOGY TODAY,THEOL TODAY,SAGE PUBLICATIONS LTD,H  Q  Y  CC,0040-5736,2044-2556,UNITED STATES,English,,,,Religion
06534J,THEORETICAL AND APPLIED CLIMATOLOGY,THEOR APPL CLIMATOL,SPRINGER WIEN,K  D  JS Q  S  B2 BA BP CC ES,0177-798X,1434-4483,GERMANY,English,1,,0,Meteorology & Atmospheric Sciences
06678J,THEORETICAL AND APPLIED FRACTURE MECHANICS,THEOR APPL FRACT MEC,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,0167-8442,1872-7638,NETHERLANDS,English,,,,"Engineering, Mechanical"
06678J,THEORETICAL AND APPLIED FRACTURE MECHANICS,THEOR APPL FRACT MEC,ELSEVIER SCIENCE BV,D  JS Q  XC T  CC ES,0167-8442,1872-7638,NETHERLANDS,English,,,,Mechanics
91938J,THEORETICAL AND APPLIED GENETICS,THEOR APPL GENET,SPRINGER,K  D  JS Q  A  P  B1 BA BP CC ES,0040-5752,1432-2242,GERMANY,English,,,,Agronomy
91938J,THEORETICAL AND APPLIED GENETICS,THEOR APPL GENET,SPRINGER,K  D  JS Q  A  P  B1 BA BP CC ES,0040-5752,1432-2242,GERMANY,English,,,,Plant Sciences
91938J,THEORETICAL AND APPLIED GENETICS,THEOR APPL GENET,SPRINGER,K  D  JS Q  A  P  B1 BA BP CC ES,0040-5752,1432-2242,GERMANY,English,,,,Genetics & Heredity
91938J,THEORETICAL AND APPLIED GENETICS,THEOR APPL GENET,SPRINGER,K  D  JS Q  A  P  B1 BA BP CC ES,0040-5752,1432-2242,GERMANY,English,,,,Horticulture
10688J,THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS,THEOR COMP FLUID DYN,SPRINGER,K  D  JS Q  XC S  T  CC ES,0935-4964,1432-2250,UNITED STATES,English,,,,"Physics, Fluids & Plasmas"
10688J,THEORETICAL AND COMPUTATIONAL FLUID DYNAMICS,THEOR COMP FLUID DYN,SPRINGER,K  D  JS Q  XC S  T  CC ES,0935-4964,1432-2250,UNITED STATES,English,,,,Mechanics
C8375J,Theoretical and Experimental Chemistry,THEOR EXP CHEM+,SPRINGER,D  JS Q  XC WS ES,0040-5760,1573-935X,UKRAINE,English,,,,"Chemistry, Multidisciplinary"
D2603J,Theoretical and Experimental Plant Physiology,THEOR EXP PLANT PHYS,BRAZILIAN SOC PLANT PHYSIOLOGY,D  JS Q  XC A  B1 BA BP CC ES SC,2197-0025,2197-0025,BRAZIL,Multi-Language,,,,Plant Sciences
91967J,THEORETICAL AND MATHEMATICAL PHYSICS,THEOR MATH PHYS+,MAIK NAUKA/INTERPERIODICA/SPRINGER,K  D  JS Q  S  CC ES,0040-5779,1573-9333,RUSSIA,English,,,,"Physics, Mathematical"
91967J,THEORETICAL AND MATHEMATICAL PHYSICS,THEOR MATH PHYS+,MAIK NAUKA/INTERPERIODICA/SPRINGER,K  D  JS Q  S  CC ES,0040-5779,1573-9333,RUSSIA,English,,,,"Physics, Multidisciplinary"
C9297J,Theoretical Biology and Medical Modelling,THEOR BIOL MED MODEL,BIOMED CENTRAL LTD,D  JS Q  XC B1 BA BP ES,1742-4682,,ENGLAND,English,,,,Mathematical & Computational Biology
D0854J,Theoretical Biology Forum,THEOR BIOL FORUM,FABRIZIO SERRA EDITORE,D  JS Q  XC A  B7 CC ES,0035-6050,,ITALY,Multi-Language,,,,Biology
12031J,THEORETICAL CHEMISTRY ACCOUNTS,THEOR CHEM ACC,SPRINGER,K  D  JS Q  S  RD RC SR CC ES,1432-881X,1432-2234,GERMANY,English,,,,"Chemistry, Physical"
03116J,THEORETICAL COMPUTER SCIENCE,THEOR COMPUT SCI,ELSEVIER SCIENCE BV,K  D  JS Q  T  CC ES,0304-3975,1879-2294,NETHERLANDS,English,,,,"Computer Science, Theory & Methods"
13490J,THEORETICAL CRIMINOLOGY,THEOR CRIMINOL,SAGE PUBLICATIONS LTD,J  SS JZ Q  B  CC ES,1362-4806,1461-7439,ENGLAND,English,0,1,,Criminology & Penology
C9323J,Theoretical Ecology,THEOR ECOL-NETH,SPRINGER HEIDELBERG,D  JS Q  XC B1 B7 BA BP ES,1874-1738,1874-1746,GERMANY,English,1,0,,Ecology
D0846J,Theoretical Economics,THEOR ECON,ECONOMETRIC SOCIETY,SS JZ Q  XC B  CC ES,1933-6837,1555-7561,UNITED STATES,English,0,1,,Economics
11301J,THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING,THEOR FOUND CHEM EN+,MAIK NAUKA/INTERPERIODICA/SPRINGER,D  JS Q  XC T  CC ES,0040-5795,1608-3431,RUSSIA,English,1,0,,"Engineering, Chemical"
04389J,THEORETICAL LINGUISTICS,THEOR LINGUIST,WALTER DE GRUYTER GMBH,J  SS H  JZ Q  XC B  Y  CC ES,0301-4428,1613-4060,GERMANY,English,0,1,1,Language & Linguistics
04389J,THEORETICAL LINGUISTICS,THEOR LINGUIST,WALTER DE GRUYTER GMBH,J  SS H  JZ Q  XC B  Y  CC ES,0301-4428,1613-4060,GERMANY,English,,,,Linguistics
12273J,THEORETICAL MEDICINE AND BIOETHICS,THEOR MED BIOETH,SPRINGER,J  SS JZ Q  B  CC ES,1386-7415,1573-1200,NETHERLANDS,English,,,0,Social Issues
12273J,THEORETICAL MEDICINE AND BIOETHICS,THEOR MED BIOETH,SPRINGER,J  SS JZ Q  B  CC ES,1386-7415,1573-1200,NETHERLANDS,English,,,,"Social Sciences, Biomedical"
12273J,THEORETICAL MEDICINE AND BIOETHICS,THEOR MED BIOETH,SPRINGER,J  SS JZ Q  B  CC ES,1386-7415,1573-1200,NETHERLANDS,English,,,,Ethics
91970J,THEORETICAL POPULATION BIOLOGY,THEOR POPUL BIOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,K  D  JS Q  A  P  B1 B7 BA BP CC ES,0040-5809,1096-0325,UNITED STATES,English,1,0,,Evolutionary Biology
91970J,THEORETICAL POPULATION BIOLOGY,THEOR POPUL BIOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,K  D  JS Q  A  P  B1 B7 BA BP CC ES,0040-5809,1096-0325,UNITED STATES,English,,,,Genetics & Heredity
91970J,THEORETICAL POPULATION BIOLOGY,THEOR POPUL BIOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,K  D  JS Q  A  P  B1 B7 BA BP CC ES,0040-5809,1096-0325,UNITED STATES,English,,,,Ecology
C7968J,Theoria-A Swedish Journal of Philosophy,THEORIA-SWED J PHILO,WILEY-BLACKWELL,H  Q  Y  WS CC,0040-5825,1755-2567,SWEDEN,English,0,,1,Philosophy
